n,bits,mitigation,checksum_mode,action,fault_op,fault_site,stage,slot,bit,seed,returncode,execution_valid,fault_injections,fault_observed,golden_match,detected,corrected,max_abs_error,mean_abs_error,rms_error,relative_l2_error,snr_db,checks_performed,check_failures,stage_checks,stage_failures,s1_failures,s2_failures,recomputations,elapsed_ntt_ns,mitigation_time_ns,mod_adds,mod_subs,mod_muls,memory_reads,memory_writes
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,10,26,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,127040 ns,114669,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,12,0,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,240375 ns,216708,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,12,8,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,268084 ns,242082,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,12,24,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,311459 ns,280036,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,12,26,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,370668 ns,331788,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,14,0,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,268583 ns,240836,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,14,8,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,313499 ns,281630,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,14,24,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,312210 ns,279793,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,14,26,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,215959 ns,193041,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,16,0,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,428293 ns,383745,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,16,8,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,942499 ns,853376,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,16,24,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,311208 ns,279707,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,16,26,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,315917 ns,283128,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,18,0,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,311166 ns,279500,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,18,8,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,452835 ns,399211,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,18,24,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,309041 ns,278458,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,18,26,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,311791 ns,279622,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,21,0,1,0,PASS,1,PASS,FAIL,yes,no,5.85593683e2,2.73792459e2,3.00228045e2,9.36031421e1,-39.42580855,1152,1,0,0,0,0,0,428832 ns,385210,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,21,8,1,0,PASS,1,PASS,FAIL,yes,no,6.44974204e2,2.60427382e2,2.94203405e2,9.17248192e1,-39.24973729,1152,1,0,0,0,0,0,432626 ns,385707,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,21,24,1,0,PASS,1,PASS,FAIL,yes,no,6.40519508e2,2.53388046e2,2.93539840e2,9.15179371e1,-39.23012444,1152,1,0,0,0,0,0,422457 ns,379587,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,21,26,1,0,PASS,1,PASS,FAIL,yes,no,6.81546352e2,2.69386708e2,3.10267470e2,9.67331686e1,-39.71150828,1152,1,0,0,0,0,0,439292 ns,389040,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,22,0,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,472209 ns,425958,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,22,8,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,424958 ns,382335,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,22,24,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,431709 ns,391371,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,22,26,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,433416 ns,389083,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,27,0,1,0,PASS,1,PASS,FAIL,yes,no,6.82858606e2,2.26567797e2,2.79014468e2,8.69893114e1,-38.78931786,1152,1,0,0,0,0,0,433667 ns,388417,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,27,8,1,0,PASS,1,PASS,FAIL,yes,no,8.50983396e2,1.90107889e2,2.51732467e2,7.84835068e1,-37.89556800,1152,1,0,0,0,0,0,381125 ns,337295,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,27,24,1,0,PASS,1,PASS,FAIL,yes,no,5.42059552e2,2.94157480e2,3.15739887e2,9.84393231e1,-39.86337237,1152,1,0,0,0,0,0,313999 ns,281628,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,27,26,1,0,PASS,1,PASS,FAIL,yes,no,7.15220591e2,2.49383332e2,2.94008559e2,9.16640712e1,-39.24398285,1152,1,0,0,0,0,0,313872 ns,281291,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,28,0,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,130168 ns,117084,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,28,8,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,310251 ns,277624,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,28,24,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,196249 ns,176376,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,28,26,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,310291 ns,278753,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,29,0,1,0,PASS,1,PASS,FAIL,yes,no,5.09929896e2,1.09010530e2,1.42226800e2,4.43425443e1,-32.93641218,1152,1,0,0,0,0,0,314166 ns,280795,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,29,8,1,0,PASS,1,PASS,FAIL,yes,no,6.00023001e2,2.77911344e2,3.19242342e2,9.95312957e1,-39.95919315,1152,1,0,0,0,0,0,311667 ns,278584,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,29,24,1,0,PASS,1,PASS,FAIL,yes,no,7.25599102e2,2.61858807e2,2.97933864e2,9.28878773e1,-39.35918077,1152,1,0,0,0,0,0,312959 ns,280548,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,29,26,1,0,PASS,1,PASS,FAIL,yes,no,7.67934181e2,2.59107233e2,2.97791126e2,9.28433752e1,-39.35501841,1152,1,0,0,0,0,0,310292 ns,279583,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,30,0,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,421209 ns,377503,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,30,8,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,370041 ns,332080,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,30,24,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,312874 ns,280627,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,30,26,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,310375 ns,278793,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,32,0,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,311375 ns,279372,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,32,8,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,259916 ns,232583,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,32,24,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,309582 ns,279166,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,32,26,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,310707 ns,278578,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,33,0,1,0,PASS,1,PASS,FAIL,yes,no,6.13317490e2,2.51498765e2,2.81749642e2,8.78420660e1,-38.87405083,1152,1,0,0,0,0,0,371667 ns,332877,1152,1152,2432,2816,2816
