n,bits,mitigation,action,repeat,elapsed_ntt_ns,mitigation_time_ns,checks_performed,check_failures,stage_checks,stage_failures,recomputations,mod_adds,mod_subs,mod_muls,memory_reads,memory_writes
2048,28,butterfly-check,detect-only,23,6957291 ns,6723381,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,24,7013415 ns,6772463,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,25,7020291 ns,6770582,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,26,7053876 ns,6822869,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,27,6757082 ns,6526538,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,28,6706041 ns,6480706,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,29,6687624 ns,6462457,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,30,6697250 ns,6464998,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,1,6722209 ns,6480332,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,2,6693209 ns,6469161,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,3,6720833 ns,6485251,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,4,6725543 ns,6486999,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,5,6711791 ns,6479084,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,6,6728333 ns,6503370,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,7,6672291 ns,6445085,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,8,6724875 ns,6478125,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,9,6723000 ns,6484709,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,10,6893543 ns,6660548,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,11,6676625 ns,6435215,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,12,6730375 ns,6488501,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,13,6760792 ns,6525300,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,14,6691290 ns,6465332,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,15,6823001 ns,6587830,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,16,6689959 ns,6461545,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,17,6797250 ns,6570377,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,18,6737626 ns,6492537,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,19,6699790 ns,6470415,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,20,6712459 ns,6476289,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,21,6694000 ns,6467792,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,22,6706249 ns,6466082,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,23,6682915 ns,6457302,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,24,6706875 ns,6472872,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,25,6724210 ns,6486123,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,26,6679710 ns,6454543,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,27,6708958 ns,6484041,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,28,6704790 ns,6469871,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,29,6679708 ns,6457707,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,30,6730748 ns,6486499,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,detect-only,1,7138999 ns,6903332,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,detect-only,2,7105918 ns,6881918,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,detect-only,3,7154124 ns,6914834,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,detect-only,4,7121541 ns,6893336,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,detect-only,5,7125626 ns,6889422,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,detect-only,6,7121998 ns,6894162,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,detect-only,7,7143416 ns,6906078,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,detect-only,8,7130751 ns,6900248,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,detect-only,9,7123875 ns,6895125,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,detect-only,10,7148959 ns,6906875,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,detect-only,11,7102628 ns,6877373,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,detect-only,12,7171918 ns,6952378,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,detect-only,13,7119500 ns,6888258,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,detect-only,14,7153167 ns,6916166,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,detect-only,15,7108418 ns,6883344,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,detect-only,16,7105999 ns,6886583,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,detect-only,17,7155873 ns,6927830,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,detect-only,18,7125667 ns,6899663,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,detect-only,19,7140958 ns,6905281,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,detect-only,20,7146419 ns,6908043,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,detect-only,21,7145126 ns,6909292,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,detect-only,22,7152959 ns,6921418,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,detect-only,23,7155625 ns,6917670,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,detect-only,24,7157625 ns,6919335,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,detect-only,25,7137875 ns,6900082,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,detect-only,26,7148624 ns,6906087,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,detect-only,27,7128292 ns,6903916,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,detect-only,28,7122542 ns,6893998,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,detect-only,29,7165167 ns,6938959,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,detect-only,30,7304291 ns,7078921,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,recompute,1,7374999 ns,7118834,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,recompute,2,7490918 ns,7251504,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,recompute,3,7313167 ns,7087378,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,recompute,4,7207500 ns,6974788,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,recompute,5,7104750 ns,6886166,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,recompute,6,7120167 ns,6888669,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,recompute,7,7155375 ns,6923417,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,recompute,8,7106999 ns,6884500,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,recompute,9,7183916 ns,6956747,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,recompute,10,7145083 ns,6913207,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,recompute,11,7119751 ns,6889877,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,recompute,12,7191958 ns,6949581,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,recompute,13,7145250 ns,6906506,66,0,66,0,0,67584,67584,139264,151552,151552
2048,28,stage-checksum,recompute,14,7126624 ns,6898744,66,0,66,0,0,67584,67584,139264,151552,151552
